Name,Version,Section,Homepage,Source,Architecture
cloud-guest-utils,0.30-0ubuntu5,admin,,cloud-utils,all
cloud-init,18.3-9-g2e62cb8a-0ubuntu1~18.04.2,admin,,,all
cloud-initramfs-copymods,0.40ubuntu1,admin,http://launchpad.net/cloud-initramfs-tools,cloud-initramfs-tools,all
cloud-initramfs-dyn-netconf,0.40ubuntu1,admin,http://launchpad.net/cloud-initramfs-tools,cloud-initramfs-tools,all
command-not-found,18.04.5,admin,,,all
command-not-found-data,18.04.5,admin,,command-not-found,amd64
console-setup,1.178ubuntu2.7,utils,,,all
console-setup-linux,1.178ubuntu2.7,utils,,console-setup,all
coreutils,8.28-1ubuntu1,utils,http://gnu.org/software/coreutils,,amd64
cpio,2.12+dfsg-6,utils,http://www.gnu.org/software/cpio/,,amd64
cron,3.0pl1-128.1ubuntu1,admin,http://ftp.isc.org/isc/cron/,,amd64
cryptsetup,2:2.0.2-1ubuntu1.1,admin,https://gitlab.com/cryptsetup/cryptsetup,,amd64
cryptsetup-bin,2:2.0.2-1ubuntu1.1,admin,https://gitlab.com/cryptsetup/cryptsetup,cryptsetup,amd64
curl,7.58.0-2ubuntu3.3,web,http://curl.haxx.se,,amd64
dash,0.5.8-2.10,shells,http://gondor.apana.org.au/~herbert/dash/,,amd64
dbus,1.12.2-1ubuntu1,devel,http://dbus.freedesktop.org/,,amd64
debconf,1.5.66,admin,,,all
debconf-i18n,1.5.66,admin,,debconf,all
debianutils,4.8.4,utils,,,amd64
diffutils,1:3.6-1,utils,http://www.gnu.org/software/diffutils/,,amd64
dirmngr,2.2.4-1ubuntu1.1,utils,https://www.gnupg.org/,gnupg2,amd64
distro-info-data,0.37ubuntu0.1,devel,,,all
dmeventd,2:1.02.145-4.1ubuntu3,admin,http://sources.redhat.com/lvm2/,lvm2 (2.02.176-4.1ubuntu3),amd64
dmidecode,3.1-1,utils,http://nongnu.org/dmidecode/,,amd64
dmsetup,2:1.02.145-4.1ubuntu3,admin,http://sources.redhat.com/lvm2/,lvm2 (2.02.176-4.1ubuntu3),amd64
dns-root-data,2018013001,misc,https://data.iana.org/root-anchors/,,all
dnsmasq-base,2.79-1,net,http://www.thekelleys.org.uk/dnsmasq/doc.html,dnsmasq,amd64
dnsutils,1:9.11.3+dfsg-1ubuntu1.2,net,https://www.isc.org/downloads/bind/,bind9,amd64
dosfstools,4.1-1,otherosfs,https://github.com/dosfstools/dosfstools,,amd64
dpkg,1.19.0.5ubuntu2,admin,https://wiki.debian.org/Teams/Dpkg,,amd64
e2fsprogs,1.44.1-1,admin,http://e2fsprogs.sourceforge.net,,amd64
eatmydata,105-6,utils,https://launchpad.net/libeatmydata,libeatmydata,all
ebtables,2.0.10.4-3.5ubuntu2.18.04.3,net,http://ebtables.sourceforge.net,,amd64
ed,1.10-2.1,editors,http://www.gnu.org/software/ed/,,amd64
efibootmgr,15-1,admin,,,amd64
eject,2.1.5+deb1+cvs20081104-13.2,utils,http://www.pobox.com/~tranter/eject.html,,amd64
