Name,Version,Section,Homepage,Source
libsasl2-modules-db,2.1.27~101-g0780600+dfsg-3ubuntu2,libs,https://www.cyrusimap.org/,cyrus-sasl2
libseccomp2,2.3.1-2.1ubuntu4,libs,https://github.com/seccomp/libseccomp,libseccomp
libselinux1,2.7-2build2,libs,http://userspace.selinuxproject.org/,libselinux
libsemanage-common,2.7-2build2,libs,http://userspace.selinuxproject.org/,libsemanage
libsemanage1,2.7-2build2,libs,http://userspace.selinuxproject.org/,libsemanage
libsepol1,2.7-1,libs,http://userspace.selinuxproject.org/,libsepol
libsigsegv2,2.12-1,libs,http://www.gnu.org/software/libsigsegv/,libsigsegv
libslang2,2.3.1a-3ubuntu1,libs,http://www.jedsoft.org/slang/,slang2
libsmartcols1,2.31.1-0.4ubuntu3.1,libs,,util-linux
libsqlite3-0,3.22.0-1,libs,http://www.sqlite.org/,sqlite3
libss2,1.44.1-1,libs,http://e2fsprogs.sourceforge.net,e2fsprogs
libssl1.0.0,1.0.2n-1ubuntu5.1,libs,https://www.openssl.org,openssl1.0
libssl1.1,1.1.0g-2ubuntu4.1,libs,https://www.openssl.org/,openssl
libstdc++6,8.2.0-1ubuntu2~18.04,libs,http://gcc.gnu.org/,gcc-8
libsystemd0,237-3ubuntu10.3,libs,https://www.freedesktop.org/wiki/Software/systemd,systemd
libtalloc2,2.1.10-2ubuntu1,libs,https://talloc.samba.org/,talloc
libtasn1-6,4.13-2,libs,http://www.gnu.org/software/libtasn1/,
libtdb1,1.3.15-2,libs,http://tdb.samba.org/,tdb
libtevent0,0.9.34-1,libs,https://tevent.samba.org/,tevent
libtext-charwidth-perl,0.04-7.1,perl,http://search.cpan.org/search?module=Text::CharWidth,
libtext-iconv-perl,1.7-5build6,perl,http://search.cpan.org/search?module=Text::Iconv,
libtext-wrapi18n-perl,0.06-7.1,perl,http://search.cpan.org/search?module=Text::WrapI18N,
libtinfo5,6.1-1ubuntu1.18.04,libs,https://invisible-island.net/ncurses/,ncurses
libudev1,237-3ubuntu10.3,libs,https://www.freedesktop.org/wiki/Software/systemd,systemd
libunistring2,0.9.9-0ubuntu1,libs,http://www.gnu.org/software/libunistring/,libunistring
libunwind8,1.2.1-8,libs,http://www.nongnu.org/libunwind,libunwind
libusb-1.0-0,2:1.0.21-2,libs,http://www.libusb.info,libusb-1.0
libutempter0,1.1.6-3,libs,http://git.altlinux.org/people/ldv/packages/?p=libutempter.git,libutempter
libuuid1,2.31.1-0.4ubuntu3.1,libs,,util-linux
libwbclient0,2:4.7.6+dfsg~ubuntu-0ubuntu2.2,libs,http://www.samba.org,samba
libwind0-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal
libwrap0,7.6.q-27,libs,,tcp-wrappers
libx11-6,2:1.6.4-3ubuntu0.1,libs,,libx11
libx11-data,2:1.6.4-3ubuntu0.1,x11,,libx11
libxau6,1:1.0.8-1,libs,,libxau
